condition,variable,channel,value
with,CBF,Fp1,4.2136309408917745
with,CBF,Fp2,4.211356520521507
with,CBF,F3,4.233695874047278
with,CBF,F4,4.203352347517617
with,CBF,T5,4.307190176553782
with,CBF,T6,4.30347258683028
with,CBF,O1,4.240717383051003
with,CBF,O2,4.296229951929351
with,CBF,F7,4.298343098302473
with,CBF,F8,4.303076427287413
with,CBF,C3,4.302058780586429
with,CBF,C4,4.302603233524971
with,CBF,T3,4.288539835281841
with,CBF,T4,4.2157542658785525
with,CBF,P3,4.300804981838827
with,CBF,P4,4.301451087663964
with,OEF,Fp1,0.224763463659898
with,OEF,Fp2,0.22478518158261318
with,OEF,F3,0.22458960282495427
with,OEF,F4,0.22486020300982926
with,OEF,T5,0.22401291053367273
with,OEF,T6,0.2240289686018122
with,OEF,O1,0.22451897323163394
with,OEF,O2,0.22407494866045036
with,OEF,F7,0.2240659606715156
with,OEF,F8,0.22403461937653582
with,OEF,C3,0.22404142941552527
with,OEF,C4,0.22403789169516125
with,OEF,T3,0.22414334615504578
with,OEF,T4,0.22474371835974943
with,OEF,P3,0.22405060328194915
with,OEF,P4,0.22404660561951312
with,ph_V,Fp1,7.323802361446855
with,ph_V,Fp2,7.32380369336738
with,ph_V,F3,7.323791698879479
with,ph_V,F4,7.3238082942944525
with,ph_V,T5,7.323756331394824
with,ph_V,T6,7.32375731620681
with,ph_V,O1,7.323787367295557
with,ph_V,O2,7.323760136079803
with,ph_V,F7,7.323759584862861
with,ph_V,F8,7.323757662758503
with,ph_V,C3,7.323758080405752
with,ph_V,C4,7.323757863443822
with,ph_V,T3,7.323764330773193
with,ph_V,T4,7.323801150503675
with,ph_V,P3,7.323758643022222
with,ph_V,P4,7.323758397852885
with,p_CO2_V,Fp1,50.41743507361508
with,p_CO2_V,Fp2,50.41761932732665
with,p_CO2_V,F3,50.415959047757866
with,p_CO2_V,F4,50.418255895847295
with,p_CO2_V,T5,50.41106058369388
with,p_CO2_V,T6,50.41119759958611
with,p_CO2_V,O1,50.415360000556774
with,p_CO2_V,O2,50.411588674874054
with,p_CO2_V,F7,50.41151195798017
with,p_CO2_V,F8,50.41124547236945
with,p_CO2_V,C3,50.41130337115363
with,p_CO2_V,C4,50.41127328680922
with,p_CO2_V,T3,50.41216925986204
with,p_CO2_V,T4,50.41726752205266
with,p_CO2_V,P3,50.41138132274208
with,p_CO2_V,P4,50.41134731362552
with,pO2_cap,Fp1,56.4820760728345
with,pO2_cap,Fp2,56.47987817667561
with,pO2_cap,F3,56.49985350419694
with,pO2_cap,F4,56.47226960450239
with,pO2_cap,T5,56.559303442784916
with,pO2_cap,T6,56.557530408416866
with,pO2_cap,O1,56.506969496405425
with,pO2_cap,O2,56.55269191178588
with,pO2_cap,F7,56.55368914068382
with,pO2_cap,F8,56.556971646193325
with,pO2_cap,C3,56.55625932496321
with,pO2_cap,C4,56.55663062689318
with,pO2_cap,T3,56.54571491317731
with,pO2_cap,T4,56.48408035250768
with,pO2_cap,P3,56.55530818309844
with,pO2_cap,P4,56.55573027655839
with,CMRO2,Fp1,6.534694064344018
with,CMRO2,Fp2,6.53180315634707
with,CMRO2,F3,6.56019765043378
with,CMRO2,F4,6.521629431186866
with,CMRO2,T5,6.653612777040729
with,CMRO2,T6,6.6488875248395445
with,CMRO2,O1,6.569122357930617
with,CMRO2,O2,6.639681754689149
with,CMRO2,F7,6.642367674947613
with,CMRO2,F8,6.648383985210054
with,CMRO2,C3,6.647090502692754
with,CMRO2,C4,6.647782531033056
with,CMRO2,T3,6.629907211687182
with,CMRO2,T4,6.537392922156163
with,CMRO2,P3,6.645496858495141
with,CMRO2,P4,6.646318093004464
with,DeltaHCO2,Fp1,3.7652907198750225
with,DeltaHCO2,Fp2,3.7636249786871816
with,DeltaHCO2,F3,3.7799858861799414
with,DeltaHCO2,F4,3.7577628782498724
with,DeltaHCO2,T5,3.8338116821308663
with,DeltaHCO2,T6,3.8310889918125444
with,DeltaHCO2,O1,3.7851283026396225
with,DeltaHCO2,O2,3.8257846270518874
with,DeltaHCO2,F7,3.8273322543048156
with,DeltaHCO2,F8,3.830798852278033
with,DeltaHCO2,C3,3.8300535476515636
with,DeltaHCO2,C4,3.8304522943812467
with,DeltaHCO2,T3,3.8201525353741546
with,DeltaHCO2,T4,3.7668458017463773
with,DeltaHCO2,P3,3.829135289864898
